dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Fine KNN,VENOUS MALFORMATION,BENIGN,0.5,0.7071067811865476,2,2
BW,Linear Discriminant Analysis,AK,MALIGNANT,0.5,0.5773502691896257,4,5
BW,Linear Discriminant Analysis,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Linear Discriminant Analysis,BCC,MALIGNANT,0.4966666666666667,0.17888543819998315,5,31
BW,Linear Discriminant Analysis,CYST,BENIGN,0.9333333333333332,0.14907119849998599,5,40
BW,Linear Discriminant Analysis,DERMATOFIBROMA,BENIGN,0.6814285714285714,0.39225928534424204,5,21
BW,Linear Discriminant Analysis,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Linear Discriminant Analysis,FIBROMA,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,KA,MALIGNANT,0.0,,1,1
BW,Linear Discriminant Analysis,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Linear Discriminant Analysis,LIPOMA,BENIGN,0.9333333333333333,0.09128709291752767,5,26
BW,Linear Discriminant Analysis,LYMPHOMA,MALIGNANT,0.25,0.3535533905932738,2,3
BW,Linear Discriminant Analysis,MERKEL,MALIGNANT,1.0,,1,1
BW,Linear Discriminant Analysis,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Linear Discriminant Analysis,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Linear Discriminant Analysis,OSTEOMA,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,SCC,MALIGNANT,0.43333333333333335,0.41633319989322654,4,11
BW,Linear Discriminant Analysis,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Linear Discriminant Analysis,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Linear Discriminant Analysis,SK,BENIGN,1.0,,1,1
BW,Linear Discriminant Analysis,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Linear SVM,AK,MALIGNANT,0.125,0.25,4,5
BW,Linear SVM,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Linear SVM,BCC,MALIGNANT,0.375,0.2465033242958173,5,31
BW,Linear SVM,CYST,BENIGN,0.9666666666666666,0.07453559924999298,5,40
BW,Linear SVM,DERMATOFIBROMA,BENIGN,0.95,0.11180339887498948,5,21
BW,Linear SVM,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Linear SVM,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Linear SVM,FIBROMA,BENIGN,1.0,,1,1
BW,Linear SVM,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Linear SVM,KA,MALIGNANT,0.0,,1,1
BW,Linear SVM,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Linear SVM,LIPOMA,BENIGN,0.9666666666666666,0.07453559924999296,5,26
BW,Linear SVM,LYMPHOMA,MALIGNANT,0.0,0.0,2,3
BW,Linear SVM,MERKEL,MALIGNANT,1.0,,1,1
BW,Linear SVM,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Linear SVM,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Linear SVM,OSTEOMA,BENIGN,1.0,,1,1
BW,Linear SVM,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Linear SVM,SCC,MALIGNANT,0.13333333333333333,0.1632993161855452,4,11
BW,Linear SVM,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Linear SVM,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Linear SVM,SK,BENIGN,1.0,,1,1
BW,Linear SVM,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Logistic Regression,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Logistic Regression,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Logistic Regression,BCC,MALIGNANT,0.48166666666666663,0.19968725547715857,5,31
BW,Logistic Regression,CYST,BENIGN,0.9416666666666667,0.08122328620674137,5,40
BW,Logistic Regression,DERMATOFIBROMA,BENIGN,0.7214285714285714,0.4168026988827188,5,21
BW,Logistic Regression,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Logistic Regression,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Logistic Regression,FIBROMA,BENIGN,1.0,,1,1
BW,Logistic Regression,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Logistic Regression,KA,MALIGNANT,0.0,,1,1
BW,Logistic Regression,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Logistic Regression,LIPOMA,BENIGN,0.9333333333333333,0.09128709291752767,5,26
BW,Logistic Regression,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Logistic Regression,MERKEL,MALIGNANT,1.0,,1,1
BW,Logistic Regression,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Logistic Regression,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Logistic Regression,OSTEOMA,BENIGN,1.0,,1,1
BW,Logistic Regression,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Logistic Regression,SCC,MALIGNANT,0.26666666666666666,0.3265986323710904,4,11
BW,Logistic Regression,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Logistic Regression,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Logistic Regression,SK,BENIGN,1.0,,1,1
BW,Logistic Regression,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Medium Gaussian SVM,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Medium Gaussian SVM,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Medium Gaussian SVM,BCC,MALIGNANT,0.41500000000000004,0.17681597464281582,5,31
BW,Medium Gaussian SVM,CYST,BENIGN,0.9666666666666666,0.07453559924999298,5,40
BW,Medium Gaussian SVM,DERMATOFIBROMA,BENIGN,0.95,0.11180339887498948,5,21
BW,Medium Gaussian SVM,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Medium Gaussian SVM,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Medium Gaussian SVM,FIBROMA,BENIGN,1.0,,1,1
BW,Medium Gaussian SVM,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Medium Gaussian SVM,KA,MALIGNANT,0.0,,1,1
BW,Medium Gaussian SVM,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Medium Gaussian SVM,LIPOMA,BENIGN,0.9333333333333333,0.09128709291752767,5,26
BW,Medium Gaussian SVM,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Medium Gaussian SVM,MERKEL,MALIGNANT,1.0,,1,1
BW,Medium Gaussian SVM,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Medium Gaussian SVM,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Medium Gaussian SVM,OSTEOMA,BENIGN,1.0,,1,1
BW,Medium Gaussian SVM,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Medium Gaussian SVM,SCC,MALIGNANT,0.21666666666666667,0.3144660377352201,4,11
BW,Medium Gaussian SVM,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Medium Gaussian SVM,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Medium Gaussian SVM,SK,BENIGN,1.0,,1,1
BW,Medium Gaussian SVM,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Medium KNN,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Medium KNN,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Medium KNN,BCC,MALIGNANT,0.4883333333333333,0.20238165265985292,5,31
BW,Medium KNN,CYST,BENIGN,0.8966666666666667,0.10826921179274476,5,40
BW,Medium KNN,DERMATOFIBROMA,BENIGN,0.9099999999999999,0.12449899597988731,5,21
BW,Medium KNN,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Medium KNN,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Medium KNN,FIBROMA,BENIGN,1.0,,1,1
BW,Medium KNN,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Medium KNN,KA,MALIGNANT,0.0,,1,1
BW,Medium KNN,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Medium KNN,LIPOMA,BENIGN,0.9666666666666666,0.07453559924999298,5,26
BW,Medium KNN,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Medium KNN,MERKEL,MALIGNANT,1.0,,1,1
BW,Medium KNN,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Medium KNN,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Medium KNN,OSTEOMA,BENIGN,1.0,,1,1
BW,Medium KNN,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Medium KNN,SCC,MALIGNANT,0.26666666666666666,0.3265986323710904,4,11
BW,Medium KNN,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Medium KNN,SEBK,BENIGN,0.375,0.47871355387816905,4,7
BW,Medium KNN,SK,BENIGN,1.0,,1,1
BW,Medium KNN,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Medium Tree,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Medium Tree,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Medium Tree,BCC,MALIGNANT,0.5283333333333333,0.11111805533855522,5,31
BW,Medium Tree,CYST,BENIGN,0.835,0.205851888502389,5,40
BW,Medium Tree,DERMATOFIBROMA,BENIGN,0.8314285714285715,0.20513808191815877,5,21
BW,Medium Tree,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Medium Tree,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Medium Tree,FIBROMA,BENIGN,1.0,,1,1
BW,Medium Tree,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Medium Tree,KA,MALIGNANT,1.0,,1,1
BW,Medium Tree,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Medium Tree,LIPOMA,BENIGN,0.7,0.2541325113662818,5,26
BW,Medium Tree,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Medium Tree,MERKEL,MALIGNANT,1.0,,1,1
BW,Medium Tree,METASTASIS,MALIGNANT,0.6666666666666666,0.5773502691896258,3,4
BW,Medium Tree,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Medium Tree,OSTEOMA,BENIGN,1.0,,1,1
BW,Medium Tree,PILOMATRICOMA,BENIGN,0.0,,1,1
BW,Medium Tree,SCC,MALIGNANT,0.4833333333333333,0.42295258468165065,4,11
BW,Medium Tree,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Medium Tree,SEBK,BENIGN,0.375,0.47871355387816905,4,7
BW,Medium Tree,SK,BENIGN,1.0,,1,1
BW,Medium Tree,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Quadratic Discriminant Analysis,AK,MALIGNANT,0.125,0.25,4,5
BW,Quadratic Discriminant Analysis,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Quadratic Discriminant Analysis,BCC,MALIGNANT,0.5483333333333333,0.2552504216995102,5,31
