dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,RUSBoosted Trees,20,0.7725694444444444,0.6944444444444444,0.25,0.9166666666666666,0.6,0.35294117647058826,22,2,9,3,0
BW,RUSBoosted Trees,20,0.5329861111111112,0.5833333333333334,0.25,0.75,0.3333333333333333,0.2857142857142857,18,6,9,3,1
BW,RUSBoosted Trees,20,0.6631944444444444,0.6388888888888888,0.4166666666666667,0.75,0.45454545454545453,0.43478260869565216,18,6,7,5,2
BW,RUSBoosted Trees,20,0.7065217391304348,0.7142857142857143,0.5833333333333334,0.782608695652174,0.5833333333333334,0.5833333333333334,18,5,5,7,3
BW,RUSBoosted Trees,20,0.7264492753623187,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,4
Doppler,Simple Tree,20,0.5034722222222221,0.7222222222222222,0.3333333333333333,0.9166666666666666,0.6666666666666666,0.4444444444444444,22,2,8,4,0
Doppler,Simple Tree,20,0.5902777777777777,0.6666666666666666,0.5,0.75,0.5,0.5,18,6,6,6,1
Doppler,Simple Tree,20,0.5399305555555556,0.6666666666666666,0.4166666666666667,0.7916666666666666,0.5,0.45454545454545453,19,5,7,5,2
Doppler,Simple Tree,20,0.8967391304347827,0.8571428571428571,0.75,0.9130434782608695,0.8181818181818182,0.782608695652174,21,2,3,9,3
Doppler,Simple Tree,20,0.7536231884057971,0.7142857142857143,0.75,0.6956521739130435,0.5625,0.6428571428571429,16,7,3,9,4
Doppler,Medium Tree,20,0.7291666666666667,0.7777777777777778,0.5833333333333334,0.875,0.7,0.6363636363636364,21,3,5,7,0
Doppler,Medium Tree,20,0.5416666666666666,0.5555555555555556,0.5,0.5833333333333334,0.375,0.42857142857142855,14,10,6,6,1
Doppler,Medium Tree,20,0.5208333333333333,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,2
Doppler,Medium Tree,20,0.7264492753623188,0.7714285714285715,0.5833333333333334,0.8695652173913043,0.7,0.6363636363636364,20,3,5,7,3
Doppler,Medium Tree,20,0.6612318840579711,0.6857142857142857,0.5833333333333334,0.7391304347826086,0.5384615384615384,0.56,17,6,5,7,4
Doppler,Complex Tree,20,0.7291666666666667,0.7777777777777778,0.5833333333333334,0.875,0.7,0.6363636363636364,21,3,5,7,0
Doppler,Complex Tree,20,0.5416666666666666,0.5555555555555556,0.5,0.5833333333333334,0.375,0.42857142857142855,14,10,6,6,1
Doppler,Complex Tree,20,0.5208333333333333,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,2
