k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
5,BW+Doppler,Medium KNN,0.79368961352657,0.0726470138012054,0.714126984126984,0.08868656111525004,0.5833333333333334,0.0,0.7811594202898551,0.13417738512293678,0.6140701128936422,0.1528088046795291,0.588661224943084,0.07577128348348208
5,BW+Doppler,Coarse KNN,0.7833786231884059,0.06648576091295887,0.6628571428571428,0.004665694748158418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,BW+Doppler,Cosine KNN,0.7904589371980675,0.08314643985084817,0.7476190476190476,0.07114405416075772,0.6166666666666667,0.04082482904638627,0.8144927536231885,0.11560526272443751,0.6622645002056767,0.14350846265704043,0.6287479896415429,0.06367099298774659
5,BW+Doppler,Weighted KNN,0.79375,0.07489816543562845,0.7198412698412697,0.07850967590933146,0.5166666666666667,0.06236095644623237,0.8235507246376812,0.13181934230002376,0.6520299145299145,0.1676852231529269,0.5604444444444445,0.06781820288075546
5,BW+Doppler,Boosted Trees,0.7646739130434783,0.07361162196701464,0.736031746031746,0.054619322086374426,0.55,0.08498365855987974,0.8307971014492752,0.058237611624168274,0.628904428904429,0.10233616450664282,0.5840496894409938,0.08411335527148688
5,BW+Doppler,Bagged Trees,0.7853713768115942,0.03731951845568852,0.736031746031746,0.05674819620691681,0.5833333333333333,0.07453559924999298,0.8141304347826088,0.11891346298135826,0.6672727272727272,0.17752921098507812,0.602162410858063,0.035168740248415445
5,BW+Doppler,Subspace Discriminant,0.7872584541062801,0.07705172033886519,0.7422222222222221,0.0646548290043385,0.45,0.04082482904638629,0.8909420289855072,0.08523661421758037,0.7115440115440116,0.17182045470917537,0.5459373070357053,0.07997684564718378
5,BW+Doppler,Subspace KNN,0.7882095410628019,0.06940285721785595,0.7422222222222222,0.07577166638697949,0.4666666666666667,0.06666666666666667,0.8826086956521738,0.09221281423202872,0.7040043290043291,0.18615284900275963,0.5552925132330166,0.10142243625211857
5,BW+Doppler,RUSBoosted Trees,0.7646739130434783,0.07361162196701464,0.736031746031746,0.054619322086374426,0.55,0.08498365855987974,0.8307971014492752,0.058237611624168274,0.628904428904429,0.10233616450664282,0.5840496894409938,0.08411335527148688
10,BW,Simple Tree,0.6806159420289853,0.10148169196833602,0.690952380952381,0.05287787381246225,0.36666666666666664,0.08498365855987976,0.8565217391304347,0.07652908122440698,0.59004329004329,0.1398143749553791,0.4429849715352475,0.08216990698758561
10,BW,Medium Tree,0.6398550724637682,0.08158733270945395,0.6631746031746032,0.08363377435973958,0.5666666666666667,0.1224744871391589,0.7130434782608696,0.11069774504588642,0.510576923076923,0.10942612074069862,0.5308571428571429,0.1076107877150477
10,BW,Complex Tree,0.6398550724637682,0.08158733270945395,0.6631746031746032,0.08363377435973958,0.5666666666666667,0.1224744871391589,0.7130434782608696,0.11069774504588642,0.510576923076923,0.10942612074069862,0.5308571428571429,0.1076107877150477
10,BW,Linear Discriminant Analysis,0.7159420289855072,0.10172865437631802,0.7088888888888889,0.07908426510788555,0.4,0.1527525231651947,0.8652173913043478,0.04710980973738869,0.586111111111111,0.16915936391641076,0.47403508771929814,0.16269657475987775
10,BW,Quadratic Discriminant Analysis,0.7015700483091788,0.07065594151563082,0.6747619047619047,0.059924366539959514,0.5,0.14907119849998596,0.764855072463768,0.10526219751051513,0.5369230769230768,0.10629867489307505,0.49983898454486686,0.10658568386743097
