dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error
BW,Coarse Gaussian SVM,0.7594202898550725,0.08416322435911308,0.7662184873949579,0.05184921618347257,0.3939393939393939,0.17978662999019787,0.9478260869565217,0.0425998216136205,0.7666666666666667,0.16465452046971293,0.500867269984917,0.18540335554130974,
BW,Fine KNN,0.6922266139657444,0.063786896046623,0.7314285714285714,0.04737767132150839,0.5757575757575757,0.13415723406774946,0.8086956521739129,0.04433930011819813,0.5906493506493506,0.07025193801650637,0.5776969696969696,0.09783132351359866,
BW,Medium KNN,0.7281949934123848,0.05749837269599646,0.760672268907563,0.047641648945172914,0.5363636363636364,0.06030226891555272,0.8695652173913043,0.054996133220319605,0.6775036075036075,0.08956263003351889,0.596060440957466,0.06298575738584235,
BW,Coarse KNN,0.7402173913043478,0.07958834431575094,0.6726050420168068,0.0077310924369748055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
BW,Cosine KNN,0.7617588932806324,0.056485449529326125,0.7369747899159664,0.040528253955588185,0.5712121212121212,0.06769184213238993,0.8173913043478261,0.04259982161362046,0.6066666666666667,0.07039570693980955,0.5869772256728779,0.062094559373615306,
BW,Weighted KNN,0.7500329380764164,0.057273660775819975,0.7608403361344538,0.05625006963565429,0.5196969696969698,0.07719841941125452,0.8782608695652174,0.050703929520393876,0.6817460317460318,0.09818201329645787,0.5883359914938863,0.08179158621778619,
BW,Boosted Trees,0.7242424242424242,0.07011599743534118,0.7485714285714286,0.0574052305730064,0.5363636363636364,0.1012320793241822,0.8521739130434783,0.044339300118198095,0.6383838383838383,0.10830242548428454,0.5815584415584415,0.10043722934393594,
BW,Bagged Trees,0.7518115942028986,0.07692870910458714,0.7312605042016807,0.05541225152267526,0.4833333333333333,0.12644027906075797,0.8521739130434783,0.034782608695652154,0.6074314574314574,0.1089529159226769,0.5354932786511734,0.11657947312255329,
BW,Subspace Discriminant,0.6006587615283268,0.13703531914347217,0.6136134453781513,0.07471037220299076,0.4409090909090909,0.18385225832869712,0.6956521739130433,0.07777627747825357,0.405449452508276,0.10927585309954263,0.4172288401253918,0.13767845440240514,
BW,Subspace KNN,0.7285902503293807,0.06187731290640591,0.7547899159663866,0.05202596951649302,0.4833333333333333,0.0779088492859542,0.8869565217391304,0.05217391304347825,0.6873015873015873,0.11397665441915074,0.5639962651727358,0.07869074980562177,
