dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Quadratic SVM,0.6798418972332015,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,2
Doppler,Quadratic SVM,0.7549407114624506,0.6764705882352942,0.09090909090909091,0.9565217391304348,0.5,0.15384615384615385,22,1,10,1,3
Doppler,Quadratic SVM,0.7351778656126483,0.6470588235294118,0.0,0.9565217391304348,0.0,0.0,22,1,11,0,4
Doppler,Cubic SVM,0.7681159420289855,0.6857142857142857,0.16666666666666666,0.9565217391304348,0.6666666666666666,0.26666666666666666,22,1,10,2,0
Doppler,Cubic SVM,0.7470355731225296,0.7058823529411765,0.2727272727272727,0.9130434782608695,0.6,0.375,21,2,8,3,1
Doppler,Cubic SVM,0.6284584980237155,0.6470588235294118,0.18181818181818182,0.8695652173913043,0.4,0.25,20,3,9,2,2
Doppler,Cubic SVM,0.8300395256916997,0.6764705882352942,0.09090909090909091,0.9565217391304348,0.5,0.15384615384615385,22,1,10,1,3
Doppler,Cubic SVM,0.6996047430830039,0.6470588235294118,0.0,0.9565217391304348,0.0,0.0,22,1,11,0,4
Doppler,Fine Gaussian SVM,0.5217391304347826,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,0
Doppler,Fine Gaussian SVM,0.45454545454545453,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,1
Doppler,Fine Gaussian SVM,0.5217391304347826,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,2
Doppler,Fine Gaussian SVM,0.5434782608695652,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,3
Doppler,Fine Gaussian SVM,0.4150197628458498,0.6176470588235294,0.0,0.9130434782608695,0.0,0.0,21,2,11,0,4
Doppler,Medium Gaussian SVM,0.7536231884057971,0.7428571428571429,0.4166666666666667,0.9130434782608695,0.7142857142857143,0.5263157894736842,21,2,7,5,0
Doppler,Medium Gaussian SVM,0.83399209486166,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,1
Doppler,Medium Gaussian SVM,0.7905138339920948,0.7352941176470589,0.36363636363636365,0.9130434782608695,0.6666666666666666,0.47058823529411764,21,2,7,4,2
Doppler,Medium Gaussian SVM,0.8932806324110671,0.8235294117647058,0.5454545454545454,0.9565217391304348,0.8571428571428571,0.6666666666666666,22,1,5,6,3
Doppler,Medium Gaussian SVM,0.8537549407114625,0.8823529411764706,0.7272727272727273,0.9565217391304348,0.8888888888888888,0.8,22,1,3,8,4
Doppler,Coarse Gaussian SVM,0.6231884057971016,0.6285714285714286,0.25,0.8260869565217391,0.42857142857142855,0.3157894736842105,19,4,9,3,0
Doppler,Coarse Gaussian SVM,0.8102766798418973,0.7647058823529411,0.45454545454545453,0.9130434782608695,0.7142857142857143,0.5555555555555556,21,2,6,5,1
Doppler,Coarse Gaussian SVM,0.8102766798418972,0.7058823529411765,0.36363636363636365,0.8695652173913043,0.5714285714285714,0.4444444444444444,20,3,7,4,2
Doppler,Coarse Gaussian SVM,0.8537549407114624,0.7647058823529411,0.36363636363636365,0.9565217391304348,0.8,0.5,22,1,7,4,3
Doppler,Coarse Gaussian SVM,0.8616600790513834,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,4
Doppler,Fine KNN,0.641304347826087,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,0
Doppler,Fine KNN,0.7786561264822135,0.7647058823529411,0.8181818181818182,0.7391304347826086,0.6,0.6923076923076923,17,6,2,9,1
Doppler,Fine KNN,0.7766798418972332,0.7941176470588235,0.7272727272727273,0.8260869565217391,0.6666666666666666,0.6956521739130435,19,4,3,8,2
